授業回,テーマ,問No.,問：【】内の記述が適切かどうかを答えてください。,正解（o：適切、x：適切でない）,解説,小テスト版からの変更（0：なし、1：あり）
2,「社会心理学」とは,1,【心理学にはさまざまな分野があるが、どの分野にも共通していることは、人間の心の働きを「科学的に」明らかにしようとすることである。「科学的に」という点が現代心理学の大きな特徴である。】,o,「科学的に」とは、「主観を廃して、客観的に」ということである。現代心理学の研究では、実験、調査などの手法により、心の働きを客観的に測定する。そして、測定で得たデータを統計的に分析する。,0
2,「社会心理学」とは,2,【1875年に、ドイツのヴントが、大学に世界初となる実験心理学研究室を開設した。このときから、現代の科学的心理学の歴史が始まったとされている。】,o,現在では、ヴントは「実験心理学の父」とよばれている。ところで、科学的心理学の誕生が1875年であるいうことは、科学的心理学の歴史は150年ほどだということになる。さまざまな学問分野が存在するが、そのなかでは、心理学は比較的歴史が浅い分野だといえよう。,0
2,「社会心理学」とは,3,【「内観」は完全に客観的ではありえず、どうしても主観の影響を排し切れない。】,o,内観は、ヴントが用いた研究方法であり、自身の意識のうえで何が起きているかを観察し、報告するという方法である。内観は、次第に、「客観的な方法ではない」、すなわち「科学的な方法ではない」という批判を受けるようになった。,0
2,「社会心理学」とは,4,【行動主義心理学は「客観的ではない」という批判を受けた。】,x,20世紀の初頭、アメリカで「行動主義心理学」が登場した。行動主義心理学とは「科学的な心理学は、客観的に観察可能な『行動』を研究対象とすべきである」という立場をとる心理学である。多くの行動主義心理学者は、「心のなかで何が起こっているか、ということは、客観的に観察することができないので、科学的な心理学の研究対象としてはふさわしくない」と考えていた。それに対し、「人間の心のなかで何が起こっているか、ということこそ、心理学が研究すべきテーマである」という主張が強くなっていった。,0
2,「社会心理学」とは,5,【「人間の心を一種の情報処理システムであるとみなす」というアプローチを「情報処理アプローチ」とよぶ。】,o,コンピュータの登場（1940年代）を受け、「人間の心の働きとコンピュータの機能はある意味で似ているのではないか」「人間の心の働きはコンピュータとの類比によって説明できるのではないか」と考えられるようになった。そして、「コンピュータが行っているのは情報処理である。したがって、人間の心も一種の情報処理システムであるとみなせば、その働きを理解できるのではないか」という研究方針が生まれた。,0
2,「社会心理学」とは,6,【社会心理学は、認知心理学が登場してから、人間の認知過程に強い関心を寄せるようになった。】,x,1920年代から1930年代にかけて、アメリカにおいて社会心理学の基礎ができあがったとされる。その頃は、行動主義心理学が盛んだった時代であり、まだ認知心理学は誕生していない。しかし、社会心理学は、認知心理学が登場するよりも前から、人間の認知過程に強い関心を寄せていた。,0
2,「社会心理学」とは,7,【近年では、情報処理アプローチによる社会心理学研究は、社会心理学の主流といってもよいほど、盛んに行われている。】,o,社会心理学は、認知心理学が登場するよりも前から、人間の認知過程に強い関心を寄せていた。そして、認知心理学が登場すると、社会心理学は認知心理学の考え方、つまり情報処理アプローチを取り入れるようになった。,0
2,「社会心理学」とは,8,【ある個人と一人の他者との一対一の関係は、社会心理学の検討対象ではない。】,x,ある個人と一人の他者との一対一の関係も、社会心理学の検討対象である。実際、私たちは、たった一人の他者が存在するだけでも、思考・感情・行動にさまざまな影響を受ける。,0
2,「社会心理学」とは,9,【社会心理学の関心は、社会そのものにあるのではなく、「社会のなかの個人」にある。】,o,社会心理学の関心は、社会そのものにあるのではなく、「社会のなかの個人」にある。つまり、社会心理学の関心は「社会から、個人がどのような影響を受けるのか」ということに向けられているのである。,0
2,「社会心理学」とは,10,【レヴィンは、B = f (P ， E) という公式を示した。この式は、「ある人間の行動（B）は、その人の内的要因（P）と外的要因（E）によって決まる」ということを表現している。】,o,私たちは、自分自身も含め、ある人の行動（B）を決めているのは、主にその人の内的要因（P）だと考えがちである。しかし、社会心理学の多くの研究により、外的要因（E）が行動（B）に及ぼす影響は、思いのほか大きいことがわかってきた。そして、外的要因（E）のなかでも大きな影響力をもつ要因が「他者の存在」なのである。,0
2,「社会心理学」とは,11,【社会心理学の主要な研究方法は「実験」と「調査」である。調査によって、要因間の因果関係を知ることができる。】,x,調査では、実験と違い、因果関係まではわからない（調査によって知ることができるのは、要因間の相関関係である。）。しかし、社会心理学の研究においては、実験を用いるのが難しいテーマも少なくないため、調査は実験と並ぶ有力な研究手法となっている。,0
3,対人認知,1,【私たちは、他者に対して、「あの人はやさしい人だ」とか「あの人はまじめな人だ」といった、さまざまな印象を抱く。このように、「ある他者をどのように認識するか」ということを「対人認知」とよぶ。】,o,（解説は特になし。）,0
3,対人認知,2,【性格特性のなかには、ある人物の全体的な印象を形成するにあたり、大きな影響を与える性格特性とそうでない特性があることが指摘されている。】,o,人物の印象形成に大きな影響を与える性格特性を「中心特性」、そうでない性格特性を「周辺特性」とよぶ。,0
3,対人認知,3,【私たちには、自分の仮説（考え、信念、予想など）を支持するような情報には耳を傾けるが、自分の仮説と矛盾する情報にはあまり耳を貸さない傾向がある。また、いったん入手した情報に対しても、自分の仮説を支持する情報は好意的に評価する一方、自分の仮説と矛盾する情報については批判的な評価をしやすい傾向がある。このような傾向を「信念バイアス」とよぶ。】,x,【】内の記述のような傾向は「確証バイアス」とよばれる。なお、「バイアス」とは、認知における歪みや偏りのことである。ある人物に対する事前の期待や予期は対人認知に影響を与えるが、これは確証バイアスによるものであると考えられる。,0
3,対人認知,4,【暗黙の性格理論は、人それぞれ異なっており、多くの人に共通する特徴はない。】,x,私たちは人の性格について自分なりの理論を持っていると考えられている。これを「暗黙の性格理論」とよぶ。暗黙の性格理論は、「自分なり」の理論なので、人それぞれ異なる。しかし、多くの人に共通する特徴があることも知られている。その特徴とは、「私たちが他者を認識する際に想定する性格特性は、『社会的望ましさ』と『知的望ましさ』の2次元からなる構造のなかに位置づけられる」というものである。,0
3,対人認知,5,【ステレオタイプは、あるカテゴリの成員（そのカテゴリに属する人たち）に対して私たちが抱いているイメージや信念のようなものであり、必ずしも事実と一致しているとは限らない。】,o,したがって、ステレオタイプは、おうおうにして誤った対人認知をもたらす。,0
3,対人認知,6,【「ステレオタイプ内容モデル」によれば、ステレオタイプの内容は、おおむね、「地位」と「能力」という2つの次元で説明できる。】,x,「ステレオタイプ内容モデル」によれば、ステレオタイプの内容は、おおむね、「人柄」と「能力」という2つの次元で説明できる。これらの2次元は、暗黙の性格理論を構成する2次元（「社会的望ましさ」）と「知的望ましさ」）に対応すると考えられている。「人柄」は「社会的望ましさ」に対応する。また、「能力」は「知的望ましさ」に対応する。,0
3,対人認知,7,【ステレオタイプ内容モデルにおいては、ステレオタイプの内容は、あるカテゴリの成員が実際にそのような特徴を持っているかどうかではなく、ステレオタイプを付与する側とされる側の関係によって規定されると考えられている。】,o,具体的には、その実態にかかわらず、「敵対関係や競合関係にある集団の成員に対しては、人柄が悪い（冷たい、など）というステレオタイプを付与しがち」「自分の味方や競争相手にはならない集団の成員に対しては、人柄がよい（温かい、など）というステレオタイプを付与しがち」だといわれている。また、「自分と同等以上の社会的地位にある集団の成員に対しては、能力が高い（頭がよい、知的である、など）というステレオタイプを付与しがち」「自分よりも社会的地位が低い集団の成員に対しては、能力が低い（頭が悪い、知的でない、など）というステレオタイプを付与しがち」であるといわれている。,0
3,対人認知,8,【外見が魅力的な人は、その他の側面においても望ましい性質を持っていると思われやすい傾向がある。これを「美人ステレオタイプ」とよぶ。】,o,また、より一般的に、ある人物によい点（あるいは悪い点）が一つあると、その人はその他の面においてもよい（あるいは悪い）と評価されやすい傾向がある。これは、「ハロー効果」とよばれている。,0
3,対人認知,9,【あるカテゴリに付与されているステレオタイプが否定的なものである場合、そのカテゴリの成員は、自らの行動の結果がそのステレオタイプに沿ったものとなり、当該のステレオタイプの証明となってしまうことを恐れることがある。このような恐れを、「ステレオタイプ脅威」とよぶ。】,o,ステレオタイプは必ずしも現実に一致しているとは限らない。しかし、ステレオタイプ脅威を抱くことにより、本来の能力を発揮できず、結果として当該のステレオタイプが現実化してしまうことがある。,0
4,原因帰属,1,【ある出来事の原因を推論し、真の原因を特定することを「原因帰属」（あるいは単に「帰属」）とよぶ。】,x,ある出来事の原因を推論し、自分なりに原因を特定することを「原因帰属」（あるいは単に「帰属」）とよぶ。ただし、自分なりに推論して特定した原因であるため、必ずしも真の原因を特定しているわけではない。,0
